Name,Mobile,address,Shift,type,Joined,City,state,rating,reviews,open_now,lat,lng,status,website
"The Royale Banquet","099100 36135","Aditya Mega Mall, SG-31, near Haldiram's, Vishwas Nagar Extension, Vishwas Nagar, Shahdara, New Delhi, Delhi, 110032, India","DAY","Third Party","","Delhi","Delhi","4.8","86","true","28.65610839999999","77.3019357","OPERATIONAL",""
"La Mansion Banquets","088002 01010","Wazirpur, C-92, Ring Rd, opp. Shalimar Bagh, Block B, Wazirpur Industrial Area, Shalimar Bagh, New Delhi, Delhi, 110052, India","DAY","Third Party","","Delhi","Delhi","4.3","2765","true","28.7029959","77.1684504","OPERATIONAL","https://weddingbanquets.in/delhi/la-mansion-banquets"
"Green Lounge Fusion","098992 41130","B-6, GT Karnal Rd, Industrial Area, GT Karnal Road Industrial Area, Shakti Nagar, Delhi, 110033, India","DAY","Third Party","","Delhi","Delhi","4.1","4437","true","28.6968205","77.1865778","OPERATIONAL","http://www.greenloungebanquets.com/"
"Le Diamonds' Banquet Hall","099532 88525","DDA Community Centre site, MTNL Ground, Block C, Yamuna Vihar, Shahdara, Delhi, 110053, India","DAY","Third Party","","Delhi","Delhi","4.3","3481","true","28.6973832","77.2728703","OPERATIONAL","https://shorturl.at/bZ5Pf"
"Royal Castle Banquet","074285 39404","WZ-10,Bindra Market, Meenakshi Garden, Tilak Nagar, New Delhi, Delhi, 110018, India","DAY","Third Party","","Delhi","Delhi","4.2","1477","false","28.6383814","77.100667","OPERATIONAL","http://royalcastlebanquet.com/"
"Seven Seas Banquet & Lawn","011 4765 0070","Britania Chowk, B-28, Lawrence Rd, Dr Lohia Industrial Area, Indira Colony, Shakurpur, New Delhi, Delhi, 110035, India","DAY","Third Party","","Delhi","Delhi","4.2","4688","true","28.6799885","77.1432445","OPERATIONAL","http://www.sevenseasbanquet.com/"
"Aqua Royale Banquet hall","098114 25380","68/9, Burari - Swaroop Nagar Rd, Ajit Vihar, Burari Garhi, Burari, Delhi, 110084, India","DAY","Third Party","","Delhi","Delhi","4.6","472","true","28.757374","77.1899739","OPERATIONAL","https://www.instagram.com/aqua_royale_banquet?igsh=MWtuaHJ1ZWlhYWZ1aw=="
"Celebration Star Banquets : Wazirpur","092177 81338","A 16/3, Block A, Wazirpur Industrial Area, Ashok Vihar, New Delhi, Delhi, 110052, India","DAY","Third Party","","Delhi","Delhi","4","1266","true","28.7001309","77.1595067","OPERATIONAL","https://celebrationstarbanquets.com/"
"Precious Moments Banquet","096545 30001","B, 1/627, Najafgarh Rd, near Metro Pillar No. 571, Block B1, Janakpuri, New Delhi, Delhi, 110058, India","DAY","Third Party","","Delhi","Delhi","4.1","2709","true","28.6314539","77.08316789999999","OPERATIONAL","http://www.preciousbanquets.com/"
"Orchid Grand Banquets","095600 15345","Karkardooma Metro Station, Arya Nagar, Dayanand Vihar, Anand Vihar, New Delhi, Delhi, 110092, India","DAY","Third Party","","Delhi","Delhi","4.2","2310","true","28.6485293","77.30521639999999","OPERATIONAL","http://www.orchidgrandbanquets.com/index-main.html"
"KD Grand Banquet","099995 67482","24, 25, 26, Block A, Sewak Park, Dwarka, New Delhi, Delhi, 110059, India","DAY","Third Party","","Delhi","Delhi","4.1","1871","true","28.6166693","77.0324314","OPERATIONAL",""
"Govindam Banquets","093125 10111","Narula Factory, Loni Road, Durga Puri Chowk, Shahdara, East Delhi, Main Durga Puri, Durga Puri, Shahdara, Delhi, 110032, India","DAY","Third Party","","Delhi","Delhi","4.6","2157","true","28.6877356","77.2922167","OPERATIONAL","http://www.govindam.org/"
"The Aeriana Banquet","099991 88332","B-1/3, opposite Metro Pillar Number 544, Block B1, Janakpuri, Delhi, 110058, India","DAY","Third Party","","Delhi","Delhi","4","256","true","28.6338021","77.08929289999999","OPERATIONAL","https://www.theaerianabanquet.com/"
"INVITATION BANQUET BY REGALIA","078270 80137","B-12 GT Karnal road industrial area near shakti nagar telephone exchange, near shakti nagar, Industrial Area, GT Karnal Road Industrial Area, Ashok Vihar, New Delhi, Delhi, 110033, India","DAY","Third Party","","Delhi","Delhi","4.2","840","true","28.6960146","77.1859358","OPERATIONAL","https://invitation-banquet-by.grexa.site/"
"The Royal Imperial Feast","098115 87220","opposite Bathla Apartments, I.P.Extension, Joshi Colony, Delhi, 110092, India","DAY","Third Party","","Delhi","Delhi","4.3","1067","true","28.628538","77.3045599","OPERATIONAL","https://theroyalimperialfeast.com/"
"The Messina Banquet","097114 42717","CBD Ground, near Hotel Leela, Vishwas Nagar Extension, Vishwas Nagar, Shahdara, New Delhi, Delhi, 110032, India","DAY","Third Party","","Delhi","Delhi","4.6","359","true","28.6617249","77.29982389999999","OPERATIONAL","https://www.instagram.com/the_messinabanquets/"
"Five Elements By Sandoz","070650 80001","B1/631, opposite Pillar No. 567, Block B1, Janakpuri, New Delhi, Delhi, 110058, India","DAY","Third Party","","Delhi","Delhi","4.1","3756","true","28.631852","77.0841575","OPERATIONAL","http://sandozrestaurants.com/"
"Crystal Banquet","088600 78204","Plot No., Dist.Centre,, Vikas Marg, Block 14, Swasthya Vihar, Delhi, 110092, India","DAY","Third Party","","Delhi","Delhi","4","1291","false","28.6383185","77.2880184","OPERATIONAL","http://robustgroup.org/"
"EVORA – Banquet Halls & Hotel | Perfect for Weddings & Events","","Britannia Chowk, B-3, Lawrence Rd, Dr Lohia Industrial Area, Keshav Puram, Shakurpur, New Delhi, Delhi, 110035, India","DAY","Third Party","","Delhi","Delhi","4.1","1302","true","28.6824824","77.147262","OPERATIONAL","https://www.evorabanquets.com/"
"Golden Spoon Banquet (By Regal Palace)","093550 05540","B-3, near Shakti Nagar Telephone Exchange, Industrial Area, GT Karnal Road Industrial Area, Ashok Vihar, Delhi, 110033, India","DAY","Third Party","","Delhi","Delhi","4.2","2507","true","28.6963628","77.1869033","OPERATIONAL",""
"The Ananta Banquet","098180 29033","The Ananta Banquet, Sec-72, Southern Peripheral Rd, Sector 71, Gurugram, Haryana 122101, India","DAY","Third Party","","Delhi","Delhi","4.6","188","true","28.4021802","77.0298663","OPERATIONAL","https://www.theanantabanquet.com/"
"The Grand Taj Banquet","093116 67791","Vipul Trade Centre, Sohna - Gurgaon Rd, Sector 48, Gurugram, Haryana 122018, India","DAY","Third Party","","Delhi","Delhi","4.6","199","true","28.4072123","77.0414023","OPERATIONAL","https://www.grandtajbanquet.com/"
"The Velvet Banquet","","1, Padmana Naidu Marg, Shakti Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201014, India","DAY","Third Party","","Delhi","Delhi","4.1","586","true","28.6476097","77.368816","OPERATIONAL",""
"Lavanya Grand","092504 04134","C-144, Mayapuri Rd, Mayapuri Industrial Area Phase II, Mayapuri, New Delhi, Delhi, 110064, India","DAY","Third Party","","Delhi","Delhi","4.3","3747","true","28.6215661","77.1167899","OPERATIONAL",""
